Run,Horizon,Theta,Choice,Policy,Loc_Dep,Joint,Doubly,beta,gamma,Profit
0,7,1.75,0,DCPP,1,1,0,0.0,1.0,240.725
1,7,1.75,0,DCPP,1,1,0,0.0,1.0,239.975
2,7,1.75,0,DCPP,1,1,0,0.0,1.0,241.41666666666663
3,7,1.75,0,DCPP,1,1,0,0.0,1.0,243.26666666666668
4,7,1.75,0,DCPP,1,1,0,0.0,1.0,245.63333333333333
5,7,1.75,0,DCPP,1,1,0,0.0,1.0,246.225
6,7,1.75,0,DCPP,1,1,0,0.0,1.0,252.36666666666667
7,7,1.75,0,DCPP,1,1,0,0.0,1.0,248.84166666666667
8,7,1.75,0,DCPP,1,1,0,0.0,1.0,240.275
9,7,1.75,0,DCPP,1,1,0,0.0,1.0,240.56666666666663
10,7,1.75,0,DCPP,1,1,0,0.0,1.0,234.76666666666668
11,7,1.75,0,DCPP,1,1,0,0.0,1.0,238.05
12,7,1.75,0,DCPP,1,1,0,0.0,1.0,244.21666666666667
13,7,1.75,0,DCPP,1,1,0,0.0,1.0,246.125
14,7,1.75,0,DCPP,1,1,0,0.0,1.0,237.8083333333333
15,7,1.75,0,DCPP,1,1,0,0.0,1.0,241.40833333333333
16,7,1.75,0,DCPP,1,1,0,0.0,1.0,244.21666666666667
17,7,1.75,0,DCPP,1,1,0,0.0,1.0,244.49166666666667
18,7,1.75,0,DCPP,1,1,0,0.0,1.0,237.95
19,7,1.75,0,DCPP,1,1,0,0.0,1.0,245.35833333333332
20,7,1.75,0,DCPP,1,1,0,0.0,1.0,245.375
21,7,1.75,0,DCPP,1,1,0,0.0,1.0,247.73333333333332
22,7,1.75,0,DCPP,1,1,0,0.0,1.0,241.26666666666668
23,7,1.75,0,DCPP,1,1,0,0.0,1.0,237.975
24,7,1.75,0,DCPP,1,1,0,0.0,1.0,239.01666666666668
25,7,1.75,0,DCPP,1,1,0,0.0,1.0,245.01666666666668
26,7,1.75,0,DCPP,1,1,0,0.0,1.0,242.06666666666663
27,7,1.75,0,DCPP,1,1,0,0.0,1.0,239.725
28,7,1.75,0,DCPP,1,1,0,0.0,1.0,238.60833333333332
29,7,1.75,0,DCPP,1,1,0,0.0,1.0,243.6
30,7,1.75,0,DCPP,1,1,0,0.0,1.0,249.8083333333333
31,7,1.75,0,DCPP,1,1,0,0.0,1.0,244.84166666666667
32,7,1.75,0,DCPP,1,1,0,0.0,1.0,249.75833333333333
33,7,1.75,0,DCPP,1,1,0,0.0,1.0,237.09166666666667
34,7,1.75,0,DCPP,1,1,0,0.0,1.0,240.25
35,7,1.75,0,DCPP,1,1,0,0.0,1.0,243.0833333333333
36,7,1.75,0,DCPP,1,1,0,0.0,1.0,251.59166666666667
37,7,1.75,0,DCPP,1,1,0,0.0,1.0,245.28333333333333
38,7,1.75,0,DCPP,1,1,0,0.0,1.0,241.25
39,7,1.75,0,DCPP,1,1,0,0.0,1.0,241.21666666666667
0,7,1.25,1,DCPP,1,1,0,0.0,1.0,268.60833333333335
1,7,1.25,1,DCPP,1,1,0,0.0,1.0,263.64166666666665
2,7,1.25,1,DCPP,1,1,0,0.0,1.0,266.85833333333335
3,7,1.25,1,DCPP,1,1,0,0.0,1.0,267.4166666666667
4,7,1.25,1,DCPP,1,1,0,0.0,1.0,261.2416666666667
5,7,1.25,1,DCPP,1,1,0,0.0,1.0,271.2916666666667
6,7,1.25,1,DCPP,1,1,0,0.0,1.0,269.05
7,7,1.25,1,DCPP,1,1,0,0.0,1.0,268.69166666666666
8,7,1.25,1,DCPP,1,1,0,0.0,1.0,265.3666666666667
9,7,1.25,1,DCPP,1,1,0,0.0,1.0,262.30833333333334
10,7,1.25,1,DCPP,1,1,0,0.0,1.0,263.525
11,7,1.25,1,DCPP,1,1,0,0.0,1.0,265.6666666666667
12,7,1.25,1,DCPP,1,1,0,0.0,1.0,266.44166666666666
13,7,1.25,1,DCPP,1,1,0,0.0,1.0,273.03333333333336
14,7,1.25,1,DCPP,1,1,0,0.0,1.0,267.125
15,7,1.25,1,DCPP,1,1,0,0.0,1.0,264.5
16,7,1.25,1,DCPP,1,1,0,0.0,1.0,271.525
17,7,1.25,1,DCPP,1,1,0,0.0,1.0,266.10833333333335
18,7,1.25,1,DCPP,1,1,0,0.0,1.0,264.05
19,7,1.25,1,DCPP,1,1,0,0.0,1.0,267.85
20,7,1.25,1,DCPP,1,1,0,0.0,1.0,266.1666666666667
21,7,1.25,1,DCPP,1,1,0,0.0,1.0,270.525
22,7,1.25,1,DCPP,1,1,0,0.0,1.0,261.84166666666664
23,7,1.25,1,DCPP,1,1,0,0.0,1.0,263.5833333333333
24,7,1.25,1,DCPP,1,1,0,0.0,1.0,265.5
25,7,1.25,1,DCPP,1,1,0,0.0,1.0,272.85833333333335
26,7,1.25,1,DCPP,1,1,0,0.0,1.0,264.09166666666664
27,7,1.25,1,DCPP,1,1,0,0.0,1.0,267.7916666666667
28,7,1.25,1,DCPP,1,1,0,0.0,1.0,265.075
29,7,1.25,1,DCPP,1,1,0,0.0,1.0,265.65833333333336
30,7,1.25,1,DCPP,1,1,0,0.0,1.0,269.625
31,7,1.25,1,DCPP,1,1,0,0.0,1.0,265.575
32,7,1.25,1,DCPP,1,1,0,0.0,1.0,269.48333333333335
33,7,1.25,1,DCPP,1,1,0,0.0,1.0,266.8833333333333
34,7,1.25,1,DCPP,1,1,0,0.0,1.0,263.35
35,7,1.25,1,DCPP,1,1,0,0.0,1.0,268.025
36,7,1.25,1,DCPP,1,1,0,0.0,1.0,273.40833333333336
37,7,1.25,1,DCPP,1,1,0,0.0,1.0,270.23333333333335
38,7,1.25,1,DCPP,1,1,0,0.0,1.0,267.25
39,7,1.25,1,DCPP,1,1,0,0.0,1.0,268.90833333333336
0,7,1.25,0,DCPP,1,1,0,0.0,1.0,283.575
1,7,1.25,0,DCPP,1,1,0,0.0,1.0,281.0416666666667
2,7,1.25,0,DCPP,1,1,0,0.0,1.0,286.55
3,7,1.25,0,DCPP,1,1,0,0.0,1.0,285.1666666666667
4,7,1.25,0,DCPP,1,1,0,0.0,1.0,281.98333333333335
5,7,1.25,0,DCPP,1,1,0,0.0,1.0,283.575
6,7,1.25,0,DCPP,1,1,0,0.0,1.0,288.30833333333334
7,7,1.25,0,DCPP,1,1,0,0.0,1.0,282.0
8,7,1.25,0,DCPP,1,1,0,0.0,1.0,279.525
9,7,1.25,0,DCPP,1,1,0,0.0,1.0,277.475
10,7,1.25,0,DCPP,1,1,0,0.0,1.0,279.65
11,7,1.25,0,DCPP,1,1,0,0.0,1.0,278.9583333333333
12,7,1.25,0,DCPP,1,1,0,0.0,1.0,282.55833333333334
13,7,1.25,0,DCPP,1,1,0,0.0,1.0,288.10833333333335
14,7,1.25,0,DCPP,1,1,0,0.0,1.0,282.21666666666664
15,7,1.25,0,DCPP,1,1,0,0.0,1.0,283.90833333333336
16,7,1.25,0,DCPP,1,1,0,0.0,1.0,289.06666666666666
17,7,1.25,0,DCPP,1,1,0,0.0,1.0,285.53333333333336
18,7,1.25,0,DCPP,1,1,0,0.0,1.0,278.39166666666665
19,7,1.25,0,DCPP,1,1,0,0.0,1.0,283.5416666666667
20,7,1.25,0,DCPP,1,1,0,0.0,1.0,281.26666666666665
21,7,1.25,0,DCPP,1,1,0,0.0,1.0,288.44166666666666
22,7,1.25,0,DCPP,1,1,0,0.0,1.0,281.8
23,7,1.25,0,DCPP,1,1,0,0.0,1.0,278.625
24,7,1.25,0,DCPP,1,1,0,0.0,1.0,283.53333333333336
25,7,1.25,0,DCPP,1,1,0,0.0,1.0,285.69166666666666
26,7,1.25,0,DCPP,1,1,0,0.0,1.0,281.4583333333333
27,7,1.25,0,DCPP,1,1,0,0.0,1.0,281.0
28,7,1.25,0,DCPP,1,1,0,0.0,1.0,284.7083333333333
29,7,1.25,0,DCPP,1,1,0,0.0,1.0,287.9583333333333
30,7,1.25,0,DCPP,1,1,0,0.0,1.0,289.1
31,7,1.25,0,DCPP,1,1,0,0.0,1.0,285.475
32,7,1.25,0,DCPP,1,1,0,0.0,1.0,286.48333333333335
33,7,1.25,0,DCPP,1,1,0,0.0,1.0,283.3833333333333
34,7,1.25,0,DCPP,1,1,0,0.0,1.0,277.5833333333333
35,7,1.25,0,DCPP,1,1,0,0.0,1.0,283.64166666666665
36,7,1.25,0,DCPP,1,1,0,0.0,1.0,286.1166666666667
37,7,1.25,0,DCPP,1,1,0,0.0,1.0,290.2416666666667
38,7,1.25,0,DCPP,1,1,0,0.0,1.0,282.4583333333333
39,7,1.25,0,DCPP,1,1,0,0.0,1.0,291.775
0,7,1.5,1,DCPP,1,0,0,0.0,1.0,231.91666666666663
1,7,1.5,1,DCPP,1,0,0,0.0,1.0,228.5
2,7,1.5,1,DCPP,1,0,0,0.0,1.0,234.6833333333333
3,7,1.5,1,DCPP,1,0,0,0.0,1.0,237.4333333333333
4,7,1.5,1,DCPP,1,0,0,0.0,1.0,228.6
5,7,1.5,1,DCPP,1,0,0,0.0,1.0,240.81666666666663
6,7,1.5,1,DCPP,1,0,0,0.0,1.0,238.98333333333332
7,7,1.5,1,DCPP,1,0,0,0.0,1.0,240.21666666666667
8,7,1.5,1,DCPP,1,0,0,0.0,1.0,233.66666666666663
9,7,1.5,1,DCPP,1,0,0,0.0,1.0,226.55
10,7,1.5,1,DCPP,1,0,0,0.0,1.0,229.16666666666663
11,7,1.5,1,DCPP,1,0,0,0.0,1.0,229.76666666666668
12,7,1.5,1,DCPP,1,0,0,0.0,1.0,237.05
13,7,1.5,1,DCPP,1,0,0,0.0,1.0,240.3333333333333
14,7,1.5,1,DCPP,1,0,0,0.0,1.0,239.26666666666668
15,7,1.5,1,DCPP,1,0,0,0.0,1.0,235.88333333333333
16,7,1.5,1,DCPP,1,0,0,0.0,1.0,247.16666666666663
17,7,1.5,1,DCPP,1,0,0,0.0,1.0,238.8333333333333
18,7,1.5,1,DCPP,1,0,0,0.0,1.0,234.55
19,7,1.5,1,DCPP,1,0,0,0.0,1.0,232.81666666666663
20,7,1.5,1,DCPP,1,0,0,0.0,1.0,238.31666666666663
21,7,1.5,1,DCPP,1,0,0,0.0,1.0,244.61666666666667
22,7,1.5,1,DCPP,1,0,0,0.0,1.0,231.6
23,7,1.5,1,DCPP,1,0,0,0.0,1.0,228.23333333333332
24,7,1.5,1,DCPP,1,0,0,0.0,1.0,234.15
25,7,1.5,1,DCPP,1,0,0,0.0,1.0,242.05
26,7,1.5,1,DCPP,1,0,0,0.0,1.0,235.1
27,7,1.5,1,DCPP,1,0,0,0.0,1.0,235.81666666666663
28,7,1.5,1,DCPP,1,0,0,0.0,1.0,236.38333333333333
29,7,1.5,1,DCPP,1,0,0,0.0,1.0,236.38333333333333
30,7,1.5,1,DCPP,1,0,0,0.0,1.0,242.01666666666668
31,7,1.5,1,DCPP,1,0,0,0.0,1.0,230.11666666666667
32,7,1.5,1,DCPP,1,0,0,0.0,1.0,241.3333333333333
33,7,1.5,1,DCPP,1,0,0,0.0,1.0,231.75
34,7,1.5,1,DCPP,1,0,0,0.0,1.0,227.21666666666667
35,7,1.5,1,DCPP,1,0,0,0.0,1.0,240.35
36,7,1.5,1,DCPP,1,0,0,0.0,1.0,245.38333333333333
37,7,1.5,1,DCPP,1,0,0,0.0,1.0,239.2
38,7,1.5,1,DCPP,1,0,0,0.0,1.0,237.45
39,7,1.5,1,DCPP,1,0,0,0.0,1.0,237.45
0,7,1.5,0,DCPP,1,1,0,0.0,1.0,259.45
1,7,1.5,0,DCPP,1,1,0,0.0,1.0,256.8
2,7,1.5,0,DCPP,1,1,0,0.0,1.0,263.81666666666666
3,7,1.5,0,DCPP,1,1,0,0.0,1.0,267.96666666666664
4,7,1.5,0,DCPP,1,1,0,0.0,1.0,259.21666666666664
5,7,1.5,0,DCPP,1,1,0,0.0,1.0,268.6
6,7,1.5,0,DCPP,1,1,0,0.0,1.0,270.2
7,7,1.5,0,DCPP,1,1,0,0.0,1.0,263.06666666666666
8,7,1.5,0,DCPP,1,1,0,0.0,1.0,263.1666666666667
9,7,1.5,0,DCPP,1,1,0,0.0,1.0,259.1666666666667
10,7,1.5,0,DCPP,1,1,0,0.0,1.0,257.01666666666665
11,7,1.5,0,DCPP,1,1,0,0.0,1.0,259.96666666666664
12,7,1.5,0,DCPP,1,1,0,0.0,1.0,266.15
13,7,1.5,0,DCPP,1,1,0,0.0,1.0,264.0
14,7,1.5,0,DCPP,1,1,0,0.0,1.0,261.96666666666664
15,7,1.5,0,DCPP,1,1,0,0.0,1.0,262.06666666666666
16,7,1.5,0,DCPP,1,1,0,0.0,1.0,268.1333333333333
17,7,1.5,0,DCPP,1,1,0,0.0,1.0,266.96666666666664
18,7,1.5,0,DCPP,1,1,0,0.0,1.0,262.56666666666666
19,7,1.5,0,DCPP,1,1,0,0.0,1.0,260.4
20,7,1.5,0,DCPP,1,1,0,0.0,1.0,261.98333333333335
21,7,1.5,0,DCPP,1,1,0,0.0,1.0,264.21666666666664
22,7,1.5,0,DCPP,1,1,0,0.0,1.0,260.78333333333336
23,7,1.5,0,DCPP,1,1,0,0.0,1.0,259.18333333333334
24,7,1.5,0,DCPP,1,1,0,0.0,1.0,260.06666666666666
25,7,1.5,0,DCPP,1,1,0,0.0,1.0,271.03333333333336
26,7,1.5,0,DCPP,1,1,0,0.0,1.0,263.9
27,7,1.5,0,DCPP,1,1,0,0.0,1.0,265.73333333333335
28,7,1.5,0,DCPP,1,1,0,0.0,1.0,265.3333333333333
29,7,1.5,0,DCPP,1,1,0,0.0,1.0,263.48333333333335
30,7,1.5,0,DCPP,1,1,0,0.0,1.0,266.31666666666666
31,7,1.5,0,DCPP,1,1,0,0.0,1.0,265.45
32,7,1.5,0,DCPP,1,1,0,0.0,1.0,267.26666666666665
33,7,1.5,0,DCPP,1,1,0,0.0,1.0,260.6
34,7,1.5,0,DCPP,1,1,0,0.0,1.0,256.95
35,7,1.5,0,DCPP,1,1,0,0.0,1.0,260.9
36,7,1.5,0,DCPP,1,1,0,0.0,1.0,267.6
37,7,1.5,0,DCPP,1,1,0,0.0,1.0,268.45
38,7,1.5,0,DCPP,1,1,0,0.0,1.0,261.15
39,7,1.5,0,DCPP,1,1,0,0.0,1.0,268.71666666666664
0,7,1.5,1,DCPP,1,1,0,0.0,1.0,246.55
1,7,1.5,1,DCPP,1,1,0,0.0,1.0,246.1833333333333
2,7,1.5,1,DCPP,1,1,0,0.0,1.0,245.8
3,7,1.5,1,DCPP,1,1,0,0.0,1.0,248.36666666666667
4,7,1.5,1,DCPP,1,1,0,0.0,1.0,242.61666666666667
5,7,1.5,1,DCPP,1,1,0,0.0,1.0,254.6833333333333
6,7,1.5,1,DCPP,1,1,0,0.0,1.0,248.98333333333332
7,7,1.5,1,DCPP,1,1,0,0.0,1.0,246.0833333333333
8,7,1.5,1,DCPP,1,1,0,0.0,1.0,241.6833333333333
9,7,1.5,1,DCPP,1,1,0,0.0,1.0,241.76666666666668
10,7,1.5,1,DCPP,1,1,0,0.0,1.0,241.6
11,7,1.5,1,DCPP,1,1,0,0.0,1.0,243.3333333333333
12,7,1.5,1,DCPP,1,1,0,0.0,1.0,246.73333333333332
13,7,1.5,1,DCPP,1,1,0,0.0,1.0,249.81666666666663
14,7,1.5,1,DCPP,1,1,0,0.0,1.0,245.75
15,7,1.5,1,DCPP,1,1,0,0.0,1.0,244.55
16,7,1.5,1,DCPP,1,1,0,0.0,1.0,249.46666666666667
17,7,1.5,1,DCPP,1,1,0,0.0,1.0,249.63333333333333
18,7,1.5,1,DCPP,1,1,0,0.0,1.0,244.6833333333333
19,7,1.5,1,DCPP,1,1,0,0.0,1.0,249.66666666666663
20,7,1.5,1,DCPP,1,1,0,0.0,1.0,246.1
21,7,1.5,1,DCPP,1,1,0,0.0,1.0,251.98333333333332
22,7,1.5,1,DCPP,1,1,0,0.0,1.0,244.48333333333332
23,7,1.5,1,DCPP,1,1,0,0.0,1.0,242.15
24,7,1.5,1,DCPP,1,1,0,0.0,1.0,244.95
25,7,1.5,1,DCPP,1,1,0,0.0,1.0,250.5833333333333
26,7,1.5,1,DCPP,1,1,0,0.0,1.0,239.95
27,7,1.5,1,DCPP,1,1,0,0.0,1.0,243.75
28,7,1.5,1,DCPP,1,1,0,0.0,1.0,247.66666666666663
29,7,1.5,1,DCPP,1,1,0,0.0,1.0,247.9
30,7,1.5,1,DCPP,1,1,0,0.0,1.0,247.11666666666667
31,7,1.5,1,DCPP,1,1,0,0.0,1.0,241.63333333333333
32,7,1.5,1,DCPP,1,1,0,0.0,1.0,245.86666666666667
33,7,1.5,1,DCPP,1,1,0,0.0,1.0,250.06666666666663
34,7,1.5,1,DCPP,1,1,0,0.0,1.0,242.86666666666667
35,7,1.5,1,DCPP,1,1,0,0.0,1.0,245.46666666666667
36,7,1.5,1,DCPP,1,1,0,0.0,1.0,247.78333333333333
37,7,1.5,1,DCPP,1,1,0,0.0,1.0,247.96666666666667
38,7,1.5,1,DCPP,1,1,0,0.0,1.0,244.85
39,7,1.5,1,DCPP,1,1,0,0.0,1.0,246.05
0,7,1.5,0,DCPP,1,0,0,0.0,1.0,251.35
1,7,1.5,0,DCPP,1,0,0,0.0,1.0,246.01666666666668
2,7,1.5,0,DCPP,1,0,0,0.0,1.0,252.73333333333332
3,7,1.5,0,DCPP,1,0,0,0.0,1.0,255.8
4,7,1.5,0,DCPP,1,0,0,0.0,1.0,246.36666666666667
5,7,1.5,0,DCPP,1,0,0,0.0,1.0,253.13333333333333
6,7,1.5,0,DCPP,1,0,0,0.0,1.0,260.23333333333335
7,7,1.5,0,DCPP,1,0,0,0.0,1.0,253.3
8,7,1.5,0,DCPP,1,0,0,0.0,1.0,251.98333333333332
9,7,1.5,0,DCPP,1,0,0,0.0,1.0,246.8333333333333
10,7,1.5,0,DCPP,1,0,0,0.0,1.0,245.9333333333333
11,7,1.5,0,DCPP,1,0,0,0.0,1.0,247.73333333333332
12,7,1.5,0,DCPP,1,0,0,0.0,1.0,258.6666666666667
13,7,1.5,0,DCPP,1,0,0,0.0,1.0,258.75
14,7,1.5,0,DCPP,1,0,0,0.0,1.0,254.0
15,7,1.5,0,DCPP,1,0,0,0.0,1.0,251.88333333333333
16,7,1.5,0,DCPP,1,0,0,0.0,1.0,262.81666666666666
17,7,1.5,0,DCPP,1,0,0,0.0,1.0,253.75
18,7,1.5,0,DCPP,1,0,0,0.0,1.0,252.21666666666667
19,7,1.5,0,DCPP,1,0,0,0.0,1.0,254.91666666666663
20,7,1.5,0,DCPP,1,0,0,0.0,1.0,253.2
21,7,1.5,0,DCPP,1,0,0,0.0,1.0,260.2
22,7,1.5,0,DCPP,1,0,0,0.0,1.0,253.23333333333332
23,7,1.5,0,DCPP,1,0,0,0.0,1.0,247.46666666666667
24,7,1.5,0,DCPP,1,0,0,0.0,1.0,249.53333333333333
25,7,1.5,0,DCPP,1,0,0,0.0,1.0,258.3
26,7,1.5,0,DCPP,1,0,0,0.0,1.0,255.95
27,7,1.5,0,DCPP,1,0,0,0.0,1.0,256.8
28,7,1.5,0,DCPP,1,0,0,0.0,1.0,252.7
29,7,1.5,0,DCPP,1,0,0,0.0,1.0,255.13333333333333
30,7,1.5,0,DCPP,1,0,0,0.0,1.0,261.71666666666664
31,7,1.5,0,DCPP,1,0,0,0.0,1.0,249.05
32,7,1.5,0,DCPP,1,0,0,0.0,1.0,263.6
33,7,1.5,0,DCPP,1,0,0,0.0,1.0,253.91666666666663
34,7,1.5,0,DCPP,1,0,0,0.0,1.0,246.98333333333332
35,7,1.5,0,DCPP,1,0,0,0.0,1.0,252.35
36,7,1.5,0,DCPP,1,0,0,0.0,1.0,262.73333333333335
37,7,1.5,0,DCPP,1,0,0,0.0,1.0,256.93333333333334
38,7,1.5,0,DCPP,1,0,0,0.0,1.0,249.13333333333333
39,7,1.5,0,DCPP,1,0,0,0.0,1.0,261.7
0,7,1.75,0,DCPP,1,0,0,0.0,1.0,232.24166666666667
1,7,1.75,0,DCPP,1,0,0,0.0,1.0,226.28333333333333
2,7,1.75,0,DCPP,1,0,0,0.0,1.0,237.49166666666667
3,7,1.75,0,DCPP,1,0,0,0.0,1.0,232.85
4,7,1.75,0,DCPP,1,0,0,0.0,1.0,223.7
5,7,1.75,0,DCPP,1,0,0,0.0,1.0,235.53333333333333
6,7,1.75,0,DCPP,1,0,0,0.0,1.0,235.03333333333333
7,7,1.75,0,DCPP,1,0,0,0.0,1.0,229.275
8,7,1.75,0,DCPP,1,0,0,0.0,1.0,230.0833333333333
9,7,1.75,0,DCPP,1,0,0,0.0,1.0,222.50833333333333
10,7,1.75,0,DCPP,1,0,0,0.0,1.0,226.59166666666667
11,7,1.75,0,DCPP,1,0,0,0.0,1.0,225.84166666666667
12,7,1.75,0,DCPP,1,0,0,0.0,1.0,235.69166666666663
13,7,1.75,0,DCPP,1,0,0,0.0,1.0,236.54166666666663
14,7,1.75,0,DCPP,1,0,0,0.0,1.0,236.98333333333332
15,7,1.75,0,DCPP,1,0,0,0.0,1.0,230.75833333333333
16,7,1.75,0,DCPP,1,0,0,0.0,1.0,239.94166666666663
17,7,1.75,0,DCPP,1,0,0,0.0,1.0,231.775
18,7,1.75,0,DCPP,1,0,0,0.0,1.0,226.675
19,7,1.75,0,DCPP,1,0,0,0.0,1.0,226.01666666666668
20,7,1.75,0,DCPP,1,0,0,0.0,1.0,230.5
21,7,1.75,0,DCPP,1,0,0,0.0,1.0,237.025
22,7,1.75,0,DCPP,1,0,0,0.0,1.0,233.16666666666663
23,7,1.75,0,DCPP,1,0,0,0.0,1.0,228.025
24,7,1.75,0,DCPP,1,0,0,0.0,1.0,229.53333333333333
25,7,1.75,0,DCPP,1,0,0,0.0,1.0,234.34166666666667
26,7,1.75,0,DCPP,1,0,0,0.0,1.0,231.8
27,7,1.75,0,DCPP,1,0,0,0.0,1.0,231.8083333333333
28,7,1.75,0,DCPP,1,0,0,0.0,1.0,230.79166666666663
29,7,1.75,0,DCPP,1,0,0,0.0,1.0,234.575
30,7,1.75,0,DCPP,1,0,0,0.0,1.0,239.31666666666663
31,7,1.75,0,DCPP,1,0,0,0.0,1.0,230.76666666666668
32,7,1.75,0,DCPP,1,0,0,0.0,1.0,237.36666666666667
33,7,1.75,0,DCPP,1,0,0,0.0,1.0,227.25833333333333
34,7,1.75,0,DCPP,1,0,0,0.0,1.0,222.425
35,7,1.75,0,DCPP,1,0,0,0.0,1.0,230.6
36,7,1.75,0,DCPP,1,0,0,0.0,1.0,234.775
37,7,1.75,0,DCPP,1,0,0,0.0,1.0,237.85833333333332
38,7,1.75,0,DCPP,1,0,0,0.0,1.0,233.025
39,7,1.75,0,DCPP,1,0,0,0.0,1.0,238.10833333333332
0,7,1.25,1,DCPP,1,0,0,0.0,1.0,257.40833333333336
1,7,1.25,1,DCPP,1,0,0,0.0,1.0,253.23333333333332
